ID,Name,Concepticon_ID,Concepticon_Gloss
1_1duexclpossedible,1du.excl.poss (edible),,
2_1duexclposssuffix,1du.excl.poss suffix,,
3_1duexclpronounnonsubject,1du.excl pronoun (non-subject),2636,WE TWO (EXCLUSIVE)
4_1duexclpronounsubject,1du.excl pronoun (subject),2636,WE TWO (EXCLUSIVE)
5_1duinclpossedible,1du.incl.poss (edible),,
6_1duinclposssuffix,1du.incl.poss suffix,,
7_1duinclpronounnonsubject,1du.incl pronoun (non-subject),2637,WE TWO (INCLUSIVE)
8_1duinclpronounsubject,1du.incl pronoun (subject),2637,WE TWO (INCLUSIVE)
9_1plexclpossedible,1pl.excl.poss (edible),,
10_1plexclpossgeneral,1pl.excl.poss (general),,
11_1plexclposssuffix,1pl.excl.poss suffix,,
12_1plexclpronounnonsubject,1pl.excl pronoun (non-subject),1130,WE (EXCLUSIVE)
13_1plexclpronounsubject,1pl.excl pronoun (subject),1130,WE (EXCLUSIVE)
14_1plinclpossedible,1pl.incl.poss (edible),,
15_1plinclpossgeneral,1pl.incl.poss (general),,
16_1plinclposssuffix,1pl.incl.poss suffix,,
17_1plinclpronounnonsubject,1pl.incl pronoun (non-subject),1131,WE (INCLUSIVE)
18_1plinclpronounsubject,1pl.incl pronoun (subject),1131,WE (INCLUSIVE)
19_1sgpossdrinkable,1sg.poss (drinkable),,
20_1sgpossedible,1sg.poss (edible),,
21_1sgpossgeneral,1sg.poss (general),,
22_1sgposssuffix,1sg.poss suffix,,
23_1sgpronounsubjectornonsubject,1sg pronoun (subject or non-subject),1209,I
24_2dupossedible,2du.poss (edible),,
25_2duposssuffix,2du.poss suffix,,
26_2dupronounnonsubject,2du pronoun (non-subject),2111,YOU TWO
27_2dupronounsubject,2du pronoun (subject),2111,YOU TWO
28_2plpossedible,2pl.poss (edible),,
29_2plposssuffix,2pl.poss suffix,,
30_2plpronounnonsubject,2pl pronoun (non-subject),1213,YOU
31_2plpronounsubject,2pl pronoun (subject),1213,YOU
32_2sg3sgrealsubjectmarker,2sg/3sg.real subject marker,,
33_2sgirrsubjectmarker,2sg.irr subject marker,,
34_2sgpossdrinkable,2sg.poss (drinkable),,
35_2sgpossedible,2sg.poss (edible),,
36_2sgpossgeneral,2sg.poss (general),,
37_2sgposssuffix,2sg.poss suffix,,
38_2sgpronounnonsubject,2sg pronoun (non-subject),1215,THOU
39_2sgpronounsubject,2sg pronoun (subject),1215,THOU
40_3dupossedible,3du.poss (edible),,
41_3dupossgeneral,3du.poss (general),,
42_3duposssuffix,3du.poss suffix,,
43_3dupronounsubjectornonsubject,3du pronoun (subject or non-subject),2635,THEY TWO
44_3plpossedible,3pl.poss (edible),,
45_3plposssuffix,3pl.poss suffix,,
46_3plpronounsubjectornonsubject,3pl pronoun (subject or non-subject),817,THEY
47_3sgirrsubjectmarker,3sg.irr subject marker,,
48_3sgpossdrinkable,3sg.poss (drinkable),,
49_3sgpossedible,3sg.poss (edible),,
50_3sgpossgeneral,3sg.poss (general),,
51_3sgposssuffix,3sg.poss suffix,,
52_3sgpronounsubject,3sg pronoun (subject),262,HE OR SHE OR IT
53_aboveatop,"above, atop",1741,ABOVE
54_adjectivemarker,adjective marker (?),,
55_adzeseashellusedtosmoothwood,adze; seashell used to smooth wood,290,ADZE
56_adzetooltodigoutcanoes,adze; tool to dig out canoes,290,ADZE
57_affirmativeinterjection,affirmative interjection,,
58_afternoonevening,"afternoon, evening",1807,AFTERNOON
59_again,again,204,AGAIN
60_all,all,98,ALL
61_already,already,2576,ALREADY
62_ancestor,ancestor ,1669,ANCESTORS
63_ancestorsorceresswitch,"ancestor; sorceress, witch",1669,ANCESTORS
64_andcoordinator,and (coordinator),1577,AND
65_angrytoanger,angry; to anger,1826,ANGRY
66_animalmeat,"animal, meat",2096,ANIMAL OR MEAT
67_another,another,197,OTHER
68_anus,anus,1935,ANUS
69_arecaleaf,areca leaf,,
70_arecanutbetelnut,areca nut (betel nut),217,BETELNUT
71_arecapalm,areca palm,,
72_arecoidpalmspwildarecoidpalm,arecoid palm sp. (wild arecoid palm),,
73_arecoidpalmtplimbum,arecoid palm (TP: limbum),,
74_armpit,armpit,1886,ARMPIT
75_ashesdust,ashes; dust,646,ASH
76_ashpit,ashpit,,
77_atinontotowardspreposition,"at, in, on; to, towards (preposition)",1461,AT
78_atinpreposition,"at, in (preposition)",1461,AT
79_atpreposition,at (preposition),1461,AT
80_augmentativeprefix,augmentative prefix (?),,
81_axe,axe,677,AXE
82_backbonespine,"backbone, spine",805,SPINE
83_backofbehindafterafterwards,"back of, behind; after, afterwards",1686,BEHIND
84_backofthebodybacksidesternofacanoe,back of the body; backside; stern of a canoe,1291,BACK
85_bad,bad,1292,BAD
86_baldspotcassowarycasque,bald spot; cassowary casque,3415,BALDHEAD
87_ball,ball,1845,BALL
88_bamboo,bamboo,1927,BAMBOO
89_banana,banana,868,BANANA
90_bananafruit,banana fruit,868,BANANA
91_bananaleaf,banana leaf,,
92_bananaplant,banana plant,1795,BANANA TREE
93_bandicoot,bandicoot,3012,BANDICOOT
94_bark,bark,1204,BARK
95_barkofatree,bark of a tree,1204,BARK
96_baseofacoconutshell,base of a coconut shell,,
97_basket,basket,1539,BASKET
98_bayharbor,"bay, harbor",663,BAY
99_beachshore,"beach, shore",3460,BEACH
